#
# Version: 2011-03-12 00:00:00.0
#
# Table label_fr = Codes INS via Code postal
#
# POSTAL_CODE_fr  =  Code postal
# SEQNBR_fr  =  Numéro de séquence
# NIS_CODE_fr  =  Code INS
# EXPIRATION_DATE_fr  =  Date de suppression
# LATEST_TREATMENT_DATE_fr  =  Date du dernier traitement
#
# Table label_nl = NIS-codes via postcode
#
# POSTAL_CODE_nl  =  Postcode
# SEQNBR_nl  =  Sequentienummer
# NIS_CODE_nl  =  NIS-code
# EXPIRATION_DATE_nl  =  Verwijderingsdatum
# LATEST_TREATMENT_DATE_nl  =  Datum laatste verwerking
#
# Table label_de = LAS-Codes über Postleitzahl
#
# POSTAL_CODE_de  =  Postleitzahl
# SEQNBR_de  =  Sequenznummer
# NIS_CODE_de  =  LAS-Code
# EXPIRATION_DATE_de  =  Löschungsdatum
# LATEST_TREATMENT_DATE_de  =  Datum der letzten Verarbeitung
#
POSTAL_CODE;SEQNBR;NIS_CODE;EXPIRATION_DATE;LATEST_TREATMENT_DATE
1601;0;23069;;1990-10-26
1601;1;23077;;
1602;0;23077;;
1602;1;23089;;1990-10-26
1620;0;23098;;
1630;0;23100;;
1640;0;23101;;
1650;0;23003;;
1651;0;23003;;
1651;1;23046;;1990-10-26
1652;0;23001;;1990-10-26
1652;1;23003;;
1653;0;23003;;
1653;1;23017;;1990-10-26
1654;0;23003;;
1654;1;23035;;1990-10-26
1670;0;23010;;1990-10-26
1670;1;23029;;1990-10-26
1670;2;23064;;
1671;0;23019;;
1671;1;23064;;
1673;0;23004;;
1673;1;23064;;
1674;0;23007;;
1674;1;23064;;
1700;0;23016;;
1700;1;23074;;1990-10-26
1700;2;23079;;1990-10-26
1701;0;23016;;
1701;1;23037;;1990-10-26
1702;0;23016;;
1702;1;23026;;1990-10-26
1703;0;23016;;
1703;1;23070;;1990-10-26
1730;0;23002;;
1730;1;23006;;1990-10-26
1730;2;23041;;1990-10-26
1730;3;23053;;1990-10-26
1731;0;23002;;
1731;1;23068;;1990-10-26
1731;2;23095;;1990-10-26
1740;0;23086;;
1741;0;23086;;
1741;1;23091;;
1742;0;23071;;
1742;1;23086;;
1745;0;23049;;1990-10-26
1745;1;23060;;
1750;0;23022;;1990-10-26
1750;1;23072;;1990-10-26
1750;2;23075;;1990-10-26
1750;3;23104;;
1755;0;23024;;
1755;1;23040;;1990-10-26
1755;2;23042;;1990-10-26
1755;3;23058;;1990-10-26
1760;0;23059;;1985-03-13
1760;1;23063;;1985-03-13
1760;2;23083;;1985-03-13
1760;3;23097;;
1761;0;23011;;1984-03-24
1761;1;23097;;
1770;0;23044;;
1780;0;23102;;
1785;0;23012;;1990-10-26
1785;1;23028;;1990-10-26
1785;2;23052;;
1790;0;23021;;1990-10-26
1790;1;23030;;
1790;2;23085;;1990-10-26
1790;3;23105;;
1800;0;23066;;1990-10-26
1800;1;23088;;
1804;0;23096;;1994-05-25
1820;0;23051;;1990-10-26
1820;1;23065;;1990-10-26
1820;2;23081;;
1830;0;23047;;
1831;0;23015;;1990-10-26
1831;1;23047;;
1840;0;23045;;
1840;1;23048;;1990-10-26
1840;2;23080;;1990-10-26
1850;0;23025;;
1851;0;23025;;
1851;1;23036;;
1852;0;23005;;
1852;1;23025;;
1853;0;23025;;
1853;1;23084;;1990-10-26
1860;0;23012;;1985-11-19
1860;1;23050;;
1861;0;23050;;
1861;1;23093;;1990-10-26
1880;0;23039;;
1880;1;23056;;1990-10-26
1880;2;23067;;1990-10-26
1880;3;23096;;2001-11-13
1910;0;23008;;1990-10-26
1910;1;23014;;1990-10-26
1910;2;23038;;
1910;3;23055;;1990-10-26
1930;0;23057;;1985-01-18
1930;1;23094;;
1931;0;23094;;1990-10-05
1932;0;23078;;1990-10-26
1932;1;23094;;
1933;0;23082;;1990-10-26
1933;1;23094;;
1950;0;23099;;
1970;0;23103;;
1980;0;23020;;1990-10-26
1980;1;23096;;
1981;0;23018;;1991-03-18
1981;1;23034;;1990-10-26
1981;2;23096;;
1982;0;23018;;1990-10-26
1982;1;23092;;1990-10-26
1982;2;23096;;
2000;0;11002;;
2018;0;11002;;
2020;0;11002;;
2030;0;11002;;
2040;0;11002;;
2040;1;11501;;1985-03-13
2040;2;11504;;1985-03-13
2040;3;11505;;1985-03-13
2040;4;11506;;1985-03-13
2040;5;11507;;1985-03-13
2040;6;11508;;1985-03-13
2050;0;11002;;
2060;0;11002;;
2070;0;11011;;1990-10-26
2070;1;11056;;
2100;0;11002;;
2100;1;11012;;
2100;2;11503;;1985-03-13
2110;0;11050;;
2140;0;11002;;
2140;1;11006;;1990-10-26
2140;2;11503;;1993-01-11
2150;0;11007;;
2160;0;11052;;
2170;0;11002;;
2170;1;11028;;1990-10-26
2180;0;11002;;
2180;1;11014;;1990-10-26
2200;0;13011;;
2200;1;13026;;1990-10-26
2200;2;13027;;1990-10-26
2220;0;12011;;1990-10-26
2220;1;12014;;
2221;0;12006;;1990-10-26
2221;1;12014;;
2222;0;12014;;
2222;1;12017;;1990-10-26
2222;2;12039;;1990-10-26
2223;0;12014;;
2223;1;12033;;1990-10-26
2230;0;13013;;
2230;1;13034;;1990-10-26
2235;0;13015;;1990-10-26
2235;1;13016;;
2235;2;13050;;1990-10-26
2240;0;11027;;1985-01-03
2240;1;11046;;1985-01-03
2240;2;11054;;
2242;0;11033;;
2242;1;11054;;
2243;0;11034;;
2243;1;11054;;
2250;0;13029;;
2260;0;13028;;1990-10-26
2260;1;13039;;1990-10-26
2260;2;13049;;
2260;3;13052;;1990-10-26
2270;0;13012;;
2275;0;13009;;1990-10-26
2275;1;13019;;
2275;2;13032;;1990-10-26
2275;3;13047;;1990-10-26
2280;0;13010;;
2288;0;13005;;
2288;1;13010;;
2290;0;13044;;
2300;0;13040;;
2310;0;13037;;
2320;0;13014;;
2321;0;13014;;
