#
# Version: 2022-02-10 17:06:11.0
#
# Table label_fr = Codes INS via la commune
#
# NIS_CODE_fr  =  Code INS
# LINGUISTIC_REGIME_fr  =  Régime linguistique
# DESC_FR_fr  =  Nom de commune en Français
# DESC_NL_fr  =  Nom de commune en Néerlandais
# DESC_DE_fr  =  Nom de la commune en Allemand
# POSTAL_CODE_fr  =  Code postal
#
# Table label_nl = NIS-codes via gemeente
#
# NIS_CODE_nl  =  NIS-code
# LINGUISTIC_REGIME_nl  =  Taalrol
# DESC_FR_nl  =  Gemeentenaam in het Frans
# DESC_NL_nl  =  Gemeentenaam in het Nederlands
# DESC_DE_nl  =  Gemeentenaam in het Duits
# POSTAL_CODE_nl  =  Postcode
#
# Table label_de = LAS-Codes über Gemeinde
#
# NIS_CODE_de  =  LAS-Code
# LINGUISTIC_REGIME_de  =  Sprachenregelung
# DESC_FR_de  =  Name der Gemeinde auf Französisch
# DESC_NL_de  =  Name der Gemeinde auf Niederländisch
# DESC_DE_de  =  Name der Gemeinde auf Deutsch
# POSTAL_CODE_de  =  Postleitzahl
#
NIS_CODE;LINGUISTIC_REGIME;DESC_FR;DESC_NL;DESC_DE;POSTAL_CODE
21010;B1;Jette;Jette;;1090
21011;B1;Koekelberg;Koekelberg;;1081
21012;B1;Molenbeek-Saint-Jean;Sint-Jans-Molenbeek;;1080
21013;B1;Saint-Gilles;Sint-Gillis (bij-Brussel);;1052
21013;B1;Saint-Gilles;Sint-Gillis (bij-Brussel);;1060
21014;B1;Saint-Josse-ten-Noode;Sint-Joost-ten-Node;;1210
21015;B1;Schaerbeek;Schaarbeek;;1030
21016;B1;Uccle;Ukkel;;1180
21017;B1;Watermael-Boitsfort;Watermaal-Bosvoorde;;1170
21018;B1;Woluwe-Saint-Lambert;Sint-Lambrechts-Woluwe;;1200
21019;B1;Woluwe-Saint-Pierre;Sint-Pieters-Woluwe;;1150
23002;N0;;Asse;;1730
23002;N0;;Asse;;1731
23003;N0;;Beersel;;1650
23003;N0;;Beersel;;1651
23003;N0;;Beersel;;1652
23003;N0;;Beersel;;1653
23003;N0;;Beersel;;1654
23009;N1;Biévène;Bever;;1547
23016;N0;;Dilbeek;;1700
23016;N0;;Dilbeek;;1701
23016;N0;;Dilbeek;;1702
23016;N0;;Dilbeek;;1703
23023;N0;Gammerages;Galmaarden;Galmaarden;1570
23024;N0;;Gooik;;1755
23025;N0;;Grimbergen;;1850
23025;N0;;Grimbergen;;1851
23025;N0;;Grimbergen;;1852
23025;N0;;Grimbergen;;1853
23027;N0;Hal;Halle;Halle;1500
23027;N0;Hal;Halle;Halle;1501
23027;N0;Hal;Halle;Halle;1502
23032;N0;;Herne;;1540
23032;N0;;Herne;;1541
23033;N0;;Hoeilaart;;1560
23038;N0;;Kampenhout;;1910
23039;N0;;Kapelle-op-den-Bos;;1880
23044;N0;;Liedekerke;;1770
23045;N0;;Londerzeel;;1840
23047;N0;;Machelen (Brab.);;1830
23047;N0;;Machelen (Brab.);;1831
23050;N0;;Meise;;1860
23050;N0;;Meise;;1861
23052;N0;;Merchtem;;1785
23060;N0;;Opwijk;;1745
23062;N0;;Overijse;;3090
23064;N0;;Pepingen;;1670
23064;N0;;Pepingen;;1671
23064;N0;;Pepingen;;1673
23064;N0;;Pepingen;;1674
23077;N0;;Sint-Pieters-Leeuw;;1600
23077;N0;;Sint-Pieters-Leeuw;;1601
23077;N0;;Sint-Pieters-Leeuw;;1602
23081;N0;;Steenokkerzeel;;1820
23086;N0;;Ternat;;1740
23086;N0;;Ternat;;1741
23086;N0;;Ternat;;1742
23088;N0;Vilvorde;Vilvoorde;Vilvoorde;1800
23094;N0;;Zaventem;;1930
23094;N0;;Zaventem;;1931
23094;N0;;Zaventem;;1932
23094;N0;;Zaventem;;1933
23096;N0;;Zemst;;1804
23096;N0;;Zemst;;1980
23096;N0;;Zemst;;1981
23096;N0;;Zemst;;1982
23097;N0;;Roosdaal;;1760
23097;N0;;Roosdaal;;1761
23098;N1;Drogenbos;Drogenbos;;1620
23099;N1;Kraainem;Kraainem;;1950
23100;N1;Linkebeek;Linkebeek;;1630
23101;N1;Rhode-Saint-Genèse;Sint-Genesius-Rode;;1640
23102;N1;Wemmel;Wemmel;;1780
23103;N1;Wezembeek-Oppem;Wezembeek-Oppem;;1970
23104;N0;;Lennik;;1750
23105;N0;;Affligem;;1790
24001;N0;;Aarschot;;3200
24001;N0;;Aarschot;;3201
24001;N0;;Aarschot;;3202
24007;N0;;Begijnendijk;;3130
24008;N0;;Bekkevoort;;3460
24008;N0;;Bekkevoort;;3461
24009;N0;;Bertem;;3060
24009;N0;;Bertem;;3061
24011;N0;;Bierbeek;;3360
24014;N0;;Boortmeerbeek;;3190
24014;N0;;Boortmeerbeek;;3191
24016;N0;;Boutersem;;3370
24020;N0;;Diest;;3290
24020;N0;;Diest;;3293
24020;N0;;Diest;;3294
24028;N0;;Geetbets;;3450
24028;N0;;Geetbets;;3454
24033;N0;;Haacht;;3150
24038;N0;;Herent;;3020
24041;N0;;Hoegaarden;;3320
24041;N0;;Hoegaarden;;3321
24043;N0;;Holsbeek;;3220
24043;N0;;Holsbeek;;3221
24045;N0;;Huldenberg;;3040
24048;N0;;Keerbergen;;3140
24054;N0;;Kortenaken;;3470
24054;N0;;Kortenaken;;3471
24054;N0;;Kortenaken;;3472
24054;N0;;Kortenaken;;3473
24055;N0;;Kortenberg;;3070
24055;N0;;Kortenberg;;3071
24055;N0;;Kortenberg;;3078
24059;N0;;Landen;;3400
24059;N0;;Landen;;3401
24059;N0;;Landen;;3404
24062;N0;Louvain;Leuven;Löwen;3000
24062;N0;Louvain;Leuven;Löwen;3001
24062;N0;Louvain;Leuven;Löwen;3010
24062;N0;Louvain;Leuven;Löwen;3012
24062;N0;Louvain;Leuven;Löwen;3018
24066;N0;;Lubbeek;;3210
24066;N0;;Lubbeek;;3211
24066;N0;;Lubbeek;;3212
24086;N0;;Oud-Heverlee;;3050
24086;N0;;Oud-Heverlee;;3051
24086;N0;;Oud-Heverlee;;3052
24086;N0;;Oud-Heverlee;;3053
24086;N0;;Oud-Heverlee;;3054
24094;N0;;Rotselaar;;3110
24094;N0;;Rotselaar;;3111
24094;N0;;Rotselaar;;3118
24104;N0;;Tervuren;;3080
24107;N0;Tirlemont;Tienen;Tienen;3300
24109;N0;;Tremelo;;3120
24109;N0;;Tremelo;;3128
24130;N0;Léau;Zoutleeuw;Zoutleeuw;3440
24133;N0;;Linter;;3350
24134;N0;Montaigu-Zichem;Scherpenheuvel-Zichem;Scherpenheuvel-Zichem;3270
24134;N0;Montaigu-Zichem;Scherpenheuvel-Zichem;Scherpenheuvel-Zichem;3271
24134;N0;Montaigu-Zichem;Scherpenheuvel-Zichem;Scherpenheuvel-Zichem;3272
24135;N0;;Tielt-Winge;;3390
24135;N0;;Tielt-Winge;;3391
24137;N0;;Glabbeek;;3380
24137;N0;;Glabbeek;;3381
24137;N0;;Glabbeek;;3384
25005;F0;Beauvechain;Bevekom;;1320
25014;F0;Braine-l'Alleud;Eigenbrakel;;1420
25014;F0;Braine-l'Alleud;Eigenbrakel;;1421
25014;F0;Braine-l'Alleud;Eigenbrakel;;1428
25015;F0;Braine-le-Château;Kasteelbrakel;;1440
25018;F0;Chaumont-Gistoux;;;1325
25023;F0;Court-Saint-Etienne;;;1490
25031;F0;Genappe;Genepiën;;1470
25031;F0;Genappe;Genepiën;;1471
25031;F0;Genappe;Genepiën;;1472
25031;F0;Genappe;Genepiën;;1473
25031;F0;Genappe;Genepiën;;1474
25031;F0;Genappe;Genepiën;;1476
25037;F0;Grez-Doiceau;Graven;;1390
25043;F0;Incourt;;;1315
25044;F0;Ittre;Itter;;1460
25044;F0;Ittre;Itter;;1461
25048;F0;Jodoigne;Geldenaken;;1370
25050;F0;La Hulpe;Terhulpen;;1310
25068;F0;Mont-Saint-Guibert;;;1435
25072;F0;Nivelles;Nijvel;;1400
25072;F0;Nivelles;Nijvel;;1401
25072;F0;Nivelles;Nijvel;;1402
25072;F0;Nivelles;Nijvel;;1404
25084;F0;Perwez;Perwijs;;1360
25091;F0;Rixensart;;;1330
25091;F0;Rixensart;;;1331
25091;F0;Rixensart;;;1332
25105;F0;Tubize;Tubeke;;1480
25107;F0;Villers-la-Ville;;;1495
25110;F0;Waterloo;;;1410
25112;F0;Wavre;Waver;;1300
25112;F0;Wavre;Waver;;1301
25117;F0;Chastre;;;1450
25118;F0;Hélécine;;;1357
25119;F0;Lasne;;;1380
25120;F0;Orp-Jauche;;;1350
25121;F0;Ottignies-Louvain-la-Neuve;;;1340
25121;F0;Ottignies-Louvain-la-Neuve;;;1341
25121;F0;Ottignies-Louvain-la-Neuve;;;1342
25121;F0;Ottignies-Louvain-la-Neuve;;;1348
25122;F0;Ramillies;;;1367
25123;F0;Rebecq;;;1430
25124;F0;Walhain;;;1457
31003;N0;;Beernem;;8730
31004;N0;;Blankenberge;;8370
31005;N0;Bruges;Brugge;Brügge;8000
31005;N0;Bruges;Brugge;Brügge;8200
31005;N0;Bruges;Brugge;Brügge;8310
31005;N0;Bruges;Brugge;Brügge;8380
31006;N0;;Damme;;8340
31012;N0;;Jabbeke;;8490
31022;N0;;Oostkamp;;8020
31033;N0;;Torhout;;8820
31040;N0;;Zedelgem;;8210
31040;N0;;Zedelgem;;8211
31042;N0;;Zuienkerke;;8377
31043;N0;;Knokke-Heist;;8300
31043;N0;;Knokke-Heist;;8301
32003;N0;Dixmude;Diksmuide;Diksmuide;8600
32006;N0;;Houthulst;;8650
32010;N0;;Koekelare;;8680
32011;N0;;Kortemark;;8610
32030;N0;;Lo-Reninge;;8647
33011;N0;Ypres;Ieper;Ieper;8900
33011;N0;Ypres;Ieper;Ieper;8902
33011;N0;Ypres;Ieper;Ieper;8904
33011;N0;Ypres;Ieper;Ieper;8906
33011;N0;Ypres;Ieper;Ieper;8908
33016;N1;Messines;Mesen;;8957
33021;N0;;Poperinge;;8970
33021;N0;;Poperinge;;8972
33021;N0;;Poperinge;;8978
33029;N0;;Wervik;;8940
33037;N0;;Zonnebeke;;8980
33039;N0;;Heuvelland;;8950
33039;N0;;Heuvelland;;8951
33039;N0;;Heuvelland;;8952
33039;N0;;Heuvelland;;8953
33039;N0;;Heuvelland;;8954
33039;N0;;Heuvelland;;8956
33039;N0;;Heuvelland;;8958
33040;N0;;Langemark-Poelkapelle;;8920
33041;N0;;Vleteren;;8640
34002;N0;;Anzegem;;8570
34002;N0;;Anzegem;;8572
34002;N0;;Anzegem;;8573
34003;N0;;Avelgem;;8580
34003;N0;;Avelgem;;8581
34003;N0;;Avelgem;;8582
34003;N0;;Avelgem;;8583
34009;N0;;Deerlijk;;8540
34013;N0;;Harelbeke;;8530
34013;N0;;Harelbeke;;8531
34022;N0;Courtrai;Kortrijk;Kortrijk;8500
34022;N0;Courtrai;Kortrijk;Kortrijk;8501
34022;N0;Courtrai;Kortrijk;Kortrijk;8510
34022;N0;Courtrai;Kortrijk;Kortrijk;8511
34023;N0;;Kuurne;;8520
34025;N0;;Lendelede;;8860
34027;N0;Menin;Menen;Menen;8930
34040;N0;;Waregem;;8790
34040;N0;;Waregem;;8791
34040;N0;;Waregem;;8792
34040;N0;;Waregem;;8793
34041;N0;;Wevelgem;;8560
34042;N0;;Zwevegem;;8550
34042;N0;;Zwevegem;;8551
34042;N0;;Zwevegem;;8552
34042;N0;;Zwevegem;;8553
34042;N0;;Zwevegem;;8554
34043;N1;Espierres-Helchin;Spiere-Helkijn;;8587
35002;N0;;Bredene;;8450
35005;N0;;Gistel;;8470
35006;N0;;Ichtegem;;8480
35011;N0;;Middelkerke;;8430
35011;N0;;Middelkerke;;8431
35011;N0;;Middelkerke;;8432
35011;N0;;Middelkerke;;8433
35011;N0;;Middelkerke;;8434
35013;N0;Ostende;Oostende;Oostende;8400
35014;N0;;Oudenburg;;8460
35029;N0;;De Haan;;8420
35029;N0;;De Haan;;8421
36006;N0;;Hooglede;;8830
36007;N0;;Ingelmunster;;8770
36008;N0;;Izegem;;8870
36010;N0;;Ledegem;;8880
36011;N0;;Lichtervelde;;8810
36012;N0;;Moorslede;;8890
36015;N0;Roulers;Roeselare;Roeselare;8800
36019;N0;;Staden;;8840
37002;N0;;Dentergem;;8720
37007;N0;;Meulebeke;;8760
37010;N0;;Oostrozebeke;;8780
37011;N0;;Pittem;;8740
37012;N0;;Ruiselede;;8755
37015;N0;;Tielt;;8700
37017;N0;;Wielsbeke;;8710
37018;N0;;Wingene;;8750
37020;N0;;Ardooie;;8850
37020;N0;;Ardooie;;8851
38002;N0;;Alveringem;;8690
38002;N0;;Alveringem;;8691
38008;N0;La Panne;De Panne;De Panne;8660
38014;N0;;Koksijde;;8670
38016;N0;Nieuport;Nieuwpoort;Nieuwpoort;8620
38025;N0;Furnes;Veurne;Veurne;8630
41002;N0;Alost;Aalst;Aalst;9300
41002;N0;Alost;Aalst;Aalst;9308
41002;N0;Alost;Aalst;Aalst;9310
41002;N0;Alost;Aalst;Aalst;9320
41011;N0;;Denderleeuw;;9470
41011;N0;;Denderleeuw;;9472
41011;N0;;Denderleeuw;;9473
41018;N0;Grammont;Geraardsbergen;Geraardsbergen;9500
41018;N0;Grammont;Geraardsbergen;Geraardsbergen;9506
41024;N0;;Haaltert;;9450
41024;N0;;Haaltert;;9451
41027;N0;;Herzele;;9550
41027;N0;;Herzele;;9551
41027;N0;;Herzele;;9552
41034;N0;;Lede;;9340
41048;N0;;Ninove;;9400
41048;N0;;Ninove;;9401
41048;N0;;Ninove;;9402
41048;N0;;Ninove;;9403
41048;N0;;Ninove;;9404
41048;N0;;Ninove;;9406
41063;N0;;Sint-Lievens-Houtem;;9520
41063;N0;;Sint-Lievens-Houtem;;9521
41081;N0;;Zottegem;;9620
41082;N0;;Erpe-Mere;;9420
42003;N0;;Berlare;;9290
42004;N0;;Buggenhout;;9255
42006;N0;Termonde;Dendermonde;Dendermonde;9200
42008;N0;;Hamme (Vl.);;9220
42010;N0;;Laarne;;9270
42011;N0;;Lebbeke;;9280
42023;N0;;Waasmunster;;9250
42025;N0;;Wetteren;;9230
42026;N0;;Wichelen;;9260
42028;N0;;Zele;;9240
43002;N0;;Assenede;;9960
43002;N0;;Assenede;;9961
43002;N0;;Assenede;;9968
43005;N0;;Eeklo;;9900
43007;N0;;Kaprijke;;9970
43007;N0;;Kaprijke;;9971
43010;N0;;Maldegem;;9990
43010;N0;;Maldegem;;9991
43010;N0;;Maldegem;;9992
43014;N0;;Sint-Laureins;;9980
43014;N0;;Sint-Laureins;;9981
43014;N0;;Sint-Laureins;;9982
43014;N0;;Sint-Laureins;;9988
43018;N0;;Zelzate;;9060
44012;N0;;De Pinte;;9840
44013;N0;;Destelbergen;;9070
44019;N0;;Evergem;;9940
44020;N0;;Gavere;;9890
44021;N0;Gand;Gent;Gent;9000
44021;N0;Gand;Gent;Gent;9030
44021;N0;Gand;Gent;Gent;9031
44021;N0;Gand;Gent;Gent;9032
44021;N0;Gand;Gent;Gent;9040
44021;N0;Gand;Gent;Gent;9041
44021;N0;Gand;Gent;Gent;9042
44021;N0;Gand;Gent;Gent;9050
44021;N0;Gand;Gent;Gent;9051
44021;N0;Gand;Gent;Gent;9052
44034;N0;;Lochristi;;9080
44040;N0;;Melle;;9090
44043;N0;;Merelbeke;;9820
44045;N0;;Moerbeke (Waas);;9180
44048;N0;;Nazareth;;9810
44052;N0;;Oosterzele;;9860
44064;N0;;Sint-Martens-Latem;;9830
44064;N0;;Sint-Martens-Latem;;9831
44073;N0;;Wachtebeke;;9185
44081;N0;;Zulte;;9870
44083;N0;;Deinze;;9800
44083;N0;;Deinze;;9850
44084;N0;;Aalter;;9880
44084;N0;;Aalter;;9881
44084;N0;;Aalter;;9910
44085;N0;;Lievegem;;9920
44085;N0;;Lievegem;;9921
44085;N0;;Lievegem;;9930
44085;N0;;Lievegem;;9931
44085;N0;;Lievegem;;9932
44085;N0;;Lievegem;;9950
45035;N0;Audenarde;Oudenaarde;Oudenaarde;9700
45041;N1;Renaix;Ronse;;9600
45059;N0;;Brakel;;9660
45059;N0;;Brakel;;9661
45060;N0;;Kluisbergen;;9690
45061;N0;;Wortegem-Petegem;;9790
45062;N0;;Horebeke;;9667
45063;N0;;Lierde;;9570
45063;N0;;Lierde;;9571
45063;N0;;Lierde;;9572
45064;N0;;Maarkedal;;9680
45064;N0;;Maarkedal;;9681
45064;N0;;Maarkedal;;9688
45065;N0;;Zwalm;;9630
45065;N0;;Zwalm;;9636
45068;N0;;Kruisem;;9750
45068;N0;;Kruisem;;9770
45068;N0;;Kruisem;;9771
45068;N0;;Kruisem;;9772
46003;N0;;Beveren;;9120
46003;N0;;Beveren;;9130
46013;N0;;Kruibeke;;9150
46014;N0;;Lokeren;;9160
46020;N0;;Sint-Gillis-Waas;;9170
46021;N0;Saint-Nicolas (Waes);Sint-Niklaas;Sint-Niklaas;9100
46021;N0;Saint-Nicolas (Waes);Sint-Niklaas;Sint-Niklaas;9111
46021;N0;Saint-Nicolas (Waes);Sint-Niklaas;Sint-Niklaas;9112
46024;N0;;Stekene;;9190
46025;N0;Tamise;Temse;Temse;9140
51004;F0;Ath;Aat;;7800
51004;F0;Ath;Aat;;7801
51004;F0;Ath;Aat;;7802
51004;F0;Ath;Aat;;7803
51004;F0;Ath;Aat;;7804
51004;F0;Ath;Aat;;7810
51004;F0;Ath;Aat;;7811
51004;F0;Ath;Aat;;7812
51004;F0;Ath;Aat;;7822
51004;F0;Ath;Aat;;7823
51008;F0;Beloeil;;;7970
51008;F0;Beloeil;;;7971
51008;F0;Beloeil;;;7972
51008;F0;Beloeil;;;7973
51009;F0;Bernissart;;;7320
51009;F0;Bernissart;;;7321
51009;F0;Bernissart;;;7322
51012;F0;Brugelette;;;7940
51012;F0;Brugelette;;;7941
51012;F0;Brugelette;;;7942
51012;F0;Brugelette;;;7943
51014;F0;Chièvres;;;7950
51014;F0;Chièvres;;;7951
51017;F0;Ellezelles;Elzele;;7890
51019;F1;Flobecq;Vloesberg;;7880
51065;F0;Frasnes-lez-Anvaing;;;7910
51065;F0;Frasnes-lez-Anvaing;;;7911
51065;F0;Frasnes-lez-Anvaing;;;7912
51067;F1;Enghien;Edingen;;7850
51068;F0;Silly;Opzullik;;7830
51069;F0;Lessines;Lessen;;7860
51069;F0;Lessines;Lessen;;7861
51069;F0;Lessines;Lessen;;7862
51069;F0;Lessines;Lessen;;7863
51069;F0;Lessines;Lessen;;7864
51069;F0;Lessines;Lessen;;7866
52010;F0;Chapelle-lez-Herlaimont;;;7160
52011;F0;Charleroi;;;6000
52011;F0;Charleroi;;;6001
52011;F0;Charleroi;;;6010
52011;F0;Charleroi;;;6020
52011;F0;Charleroi;;;6030
52011;F0;Charleroi;;;6031
52011;F0;Charleroi;;;6032
52011;F0;Charleroi;;;6040
52011;F0;Charleroi;;;6041
52011;F0;Charleroi;;;6042
52011;F0;Charleroi;;;6043
52011;F0;Charleroi;;;6044
52011;F0;Charleroi;;;6060
52011;F0;Charleroi;;;6061
52012;F0;Châtelet;;;6200
52015;F0;Courcelles;;;6180
52015;F0;Courcelles;;;6181
52015;F0;Courcelles;;;6182
52015;F0;Courcelles;;;6183
52018;F0;Farciennes;;;6240
52021;F0;Fleurus;;;6220
52021;F0;Fleurus;;;6221
52021;F0;Fleurus;;;6222
52021;F0;Fleurus;;;6223
52021;F0;Fleurus;;;6224
52022;F0;Fontaine-l'Evêque;;;6140
52022;F0;Fontaine-l'Evêque;;;6141
52022;F0;Fontaine-l'Evêque;;;6142
52025;F0;Gerpinnes;;;6280
52048;F0;Montigny-le-Tilleul;;;6110
52048;F0;Montigny-le-Tilleul;;;6111
52055;F0;Pont-à-Celles;;;6230
52055;F0;Pont-à-Celles;;;6238
52074;F0;Aiseau-Presles;;;6250
52075;F0;Les Bons Villers;;;6210
52075;F0;Les Bons Villers;;;6211
53014;F0;Boussu;;;7300
53014;F0;Boussu;;;7301
53020;F0;Dour;;;7370
53028;F0;Frameries;;;7080
53039;F0;Hensies;;;7350
53044;F0;Jurbise;Jurbeke;;7050
53046;F0;Lens (Hainaut);;;7870
53053;F0;Mons;Bergen;;7000
53053;F0;Mons;Bergen;;7010
53053;F0;Mons;Bergen;;7011
53053;F0;Mons;Bergen;;7012
53053;F0;Mons;Bergen;;7020
53053;F0;Mons;Bergen;;7021
53053;F0;Mons;Bergen;;7022
53053;F0;Mons;Bergen;;7024
53053;F0;Mons;Bergen;;7030
53053;F0;Mons;Bergen;;7031
53053;F0;Mons;Bergen;;7032
